PickkingItem			TargetItem			ResultItem		
Name	ID	Num	Name	ID	Num	Name	ID	Num
Ruby fragment	1901	1	Distilled water (S)	3101	1	Healing tonic(S)	3153	1
Black-moon fragment	1905	1	Distilled water (S)	3101	1	Defense tonic (S)	3157	1
Beryl fragment	1902	1	Distilled water (S)	3101	1	Dispel tonic(S)	3161	1
Sapphire fragment	1903	1	Distilled water (S)	3101	1	Magic tonic(S)	3165	1
Diamond fragment	1904	1	Distilled water (S)	3101	1	Attack tonic (S)	3169	1
Small ruby	1906	1	Distilled water (M)	3102	1	Healing tonic(M)	3154	1
Small black moon	1910	1	Distilled water (M)	3102	1	Defense tonic (M)	3158	1
Small beryl	1907	1	Distilled water (M)	3102	1	Dispel tonic(M)	3162	1
Small sapphire	1908	1	Distilled water (M)	3102	1	Magic tonic (M)	3166	1
Small diamond	1909	1	Distilled water (M)	3102	1	Attack tonic (M)	3170	1
Ruby	1911	1	Distilled water (L)	3103	1	Healing tonic(L)	3155	1
Black moon	1915	1	Distilled water (L)	3103	1	Defense tonic (L)	3159	1
Beryl	1912	1	Distilled water (L)	3103	1	Dispel tonic(L)	3163	1
Sapphire	1913	1	Distilled water (L)	3103	1	Magic tonic (L)	3167	1
Diamond	1914	1	Distilled water (L)	3103	1	Attack tonic (L)	3171	1
FarCry Metal	2101	20	Natural Ring +1	33027	1	Natural Ring +2	33028	1
FarCry Metal	2101	40	Natural Ring +2	33028	1	Natural Ring +3	33029	1
FarCry Metal	2101	80	Natural Ring +3	33029	1	Natural Ring +4	33030	1
FarCry Metal	2101	110	Natural Ring +4	33030	1	Natural Ring +5	33031	1
FarCry Metal	2101	140	Natural Ring +5	33031	1	Natural Ring +6	33032	1
FarCry Metal	2101	170	Natural Ring +6	33032	1	Natural Ring +7	33033	1
FarCry Metal	2101	200	Natural Ring +7	33033	1	Natural Ring +8	33034	1
FarCry Metal	2101	230	Natural Ring +8	33034	1	Natural Ring +9	33035	1
FarCry Metal	2101	250	Natural Ring +9	33035	1	Natural Ring +10(MAX)	33036	1
FarCry Metal	2101	20	Natural Necklace +1	33037	1	Natural Necklace +2	33038	1
FarCry Metal	2101	40	Natural Necklace +2	33038	1	Natural Necklace +3	33039	1
FarCry Metal	2101	80	Natural Necklace +3	33039	1	Natural Necklace +4	33040	1
FarCry Metal	2101	110	Natural Necklace +4	33040	1	Natural Necklace +5	33041	1
FarCry Metal	2101	140	Natural Necklace +5	33041	1	Natural Necklace +6	33042	1
FarCry Metal	2101	170	Natural Necklace +6	33042	1	Natural Necklace +7	33043	1
FarCry Metal	2101	200	Natural Necklace +7	33043	1	Natural Necklace +8	33044	1
FarCry Metal	2101	230	Natural Necklace +8	33044	1	Natural Necklace +9	33045	1
FarCry Metal	2101	250	Natural Necklace +9	33045	1	Natural Necklace +10(MAX)	33046	1
FarCry Metal	2101	20	Mage Ring +1	33047	1	Mage Ring +2	33048	1
FarCry Metal	2101	40	Mage Ring +2	33048	1	Mage Ring +3	33049	1
FarCry Metal	2101	80	Mage Ring +3	33049	1	Mage Ring +4	33050	1
FarCry Metal	2101	110	Mage Ring +4	33050	1	Mage Ring +5	33051	1
FarCry Metal	2101	140	Mage Ring +5	33051	1	Mage Ring +6	33052	1
FarCry Metal	2101	170	Mage Ring +6	33052	1	Mage Ring +7	33053	1
FarCry Metal	2101	200	Mage Ring +7	33053	1	Mage Ring +8	33054	1
FarCry Metal	2101	230	Mage Ring +8	33054	1	Mage Ring +9	33055	1
FarCry Metal	2101	250	Mage Ring +9	33055	1	Mage Ring +10(MAX)	33056	1
FarCry Metal	2101	20	Mage Necklace +1	33057	1	Mage Necklace +2	33058	1
FarCry Metal	2101	40	Mage Necklace +2	33058	1	Mage Necklace +3	33059	1
FarCry Metal	2101	80	Mage Necklace +3	33059	1	Mage Necklace +4	33060	1
FarCry Metal	2101	110	Mage Necklace +4	33060	1	Mage Necklace +5	33061	1
FarCry Metal	2101	140	Mage Necklace +5	33061	1	Mage Necklace +6	33062	1
FarCry Metal	2101	170	Mage Necklace +6	33062	1	Mage Necklace +7	33063	1
FarCry Metal	2101	200	Mage Necklace +7	33063	1	Mage Necklace +8	33064	1
FarCry Metal	2101	230	Mage Necklace +8	33064	1	Mage Necklace +9	33065	1
FarCry Metal	2101	250	Mage Necklace +9	33065	1	Mage Necklace +10(MAX)	33066	1
Distilled water (S)	3101	1	Ruby fragment	1901	1	Healing tonic(S)	3153	1
Distilled water (S)	3101	1	Black-moon fragment	1905	1	Defense tonic (S)	3157	1
Distilled water (S)	3101	1	Beryl fragment	1902	1	Dispel tonic(S)	3161	1
Distilled water (S)	3101	1	Sapphire fragment	1903	1	¸Magic tonic(S)	3165	1
Distilled water (S)	3101	1	Diamond fragment	1904	1	Attack tonic (S)	3169	1
Distilled water (M)	3102	1	Small ruby	1906	1	Healing tonic(M)	3154	1
Distilled water (M)	3102	1	Small black moon	1910	1	Defense tonic (M)	3158	1
Distilled water (M)	3102	1	Small beryl	1907	1	Magic tonic(M)	3162	1
Distilled water (M)	3102	1	Small sapphire	1908	1	¸Attack tonic (M)	3166	1
Distilled water (M)	3102	1	Small diamond	1909	1	Healing tonic(M)	3170	1
Distilled water (L)	3103	1	Ruby	1911	1	Healing tonic(L)	3155	1
Distilled water (L)	3103	1	Black moon	1915	1	Defense tonic (L)	3159	1
Distilled water (L)	3103	1	Beryl	1912	1	Dispel tonic(L)	3163	1
Distilled water (L)	3103	1	Sapphire	1913	1	Magic tonic (L)	3167	1
Distilled water (L)	3103	1	Diamond	1914	1	Attack tonic (L)	3171	1
Soul Metal	2004	250	Enchanter ring +1	60740	1	Enchanter ring +2	60741	1
Soul Metal	2004	250	Enchanter ring +2	60741	1	Enchanter ring +3	60742	1
Soul Metal	2004	250	Enchanter ring +3	60742	1	Enchanter ring +4	60743	1
Soul Metal	2004	250	Enchanter ring +4	60743	1	Enchanter ring +5	60744	1
Soul Metal	2004	250	Enchanter ring +5	60744	1	Enchanter ring +6	60745	1
Soul Metal	2004	250	Enchanter ring +6	60745	1	Enchanter ring +7	60746	1
Soul Metal	2004	250	Enchanter ring +7	60746	1	Enchanter ring +8	60747	1
Soul Metal	2004	250	Enchanter ring +8	60747	1	Enchanter ring +9	60748	1
Soul Metal	2004	250	Enchanter ring +9	60748	1	Enchanter ring +10	60749	1
Soul Metal	2004	250	Enchanter ring +10	60749	1	Enchanter ring +11	60750	1
Soul Metal	2004	250	Enchanter ring +11	60750	1	Enchanter ring +12	60751	1
Soul Metal	2004	250	Enchanter ring +12	60751	1	Enchanter ring +13	60752	1
Soul Metal	2004	250	Enchanter ring +13	60752	1	Enchanter ring +14	60753	1
Soul Metal	2004	250	Enchanter ring +14	60753	1	Enchanter ring +15	60754	1
Soul Metal	2004	250	Enchanter ring +15	60754	1	Enchanter ring +16	60755	1
Soul Metal	2004	250	Enchanter ring +16	60755	1	Enchanter ring +17	60756	1
Soul Metal	2004	250	Enchanter ring +17	60756	1	Enchanter ring +18	60757	1
Soul Metal	2004	250	Enchanter ring +18	60757	1	Enchanter ring +19	60758	1
Soul Metal	2004	250	Enchanter ring +19	60758	1	Enchanter ring +20	60759	1
Soul Metal	2004	250	Enchanter ring +20	60759	1	Enchanter ring +21	60760	1
Soul Metal	2004	250	Enchanter ring +21	60760	1	Enchanter ring +22	60761	1
Soul Metal	2004	250	Enchanter ring +22	60761	1	Enchanter ring +23	60762	1
Soul Metal	2004	250	Enchanter ring +23	60762	1	Enchanter ring +24	60763	1
Soul Metal	2004	250	Enchanter ring +24	60763	1	Enchanter ring +25	60764	1
Soul Metal	2004	250	Enchanter Necklace +1	60765	1	Enchanter Necklace +2	60766	1
Soul Metal	2004	250	Enchanter Necklace +2	60766	1	Enchanter Necklace +3	60767	1
Soul Metal	2004	250	Enchanter Necklace +3	60767	1	Enchanter Necklace +4	60768	1
Soul Metal	2004	250	Enchanter Necklace +4	60768	1	Enchanter Necklace +5	60769	1
Soul Metal	2004	250	Enchanter Necklace +5	60769	1	Enchanter Necklace +6	60770	1
Soul Metal	2004	250	Enchanter Necklace +6	60770	1	Enchanter Necklace +7	60771	1
Soul Metal	2004	250	Enchanter Necklace +7	60771	1	Enchanter Necklace +8	60772	1
Soul Metal	2004	250	Enchanter Necklace +8	60772	1	Enchanter Necklace +9	60773	1
Soul Metal	2004	250	Enchanter Necklace +9	60773	1	Enchanter Necklace +10	60774	1
Soul Metal	2004	250	Enchanter Necklace +10	60774	1	Enchanter Necklace +11	60775	1
Soul Metal	2004	250	Enchanter Necklace +11	60775	1	Enchanter Necklace +12	60776	1
Soul Metal	2004	250	Enchanter Necklace +12	60776	1	Enchanter Necklace +13	60777	1
Soul Metal	2004	250	Enchanter Necklace +13	60777	1	Enchanter Necklace +14	60778	1
Soul Metal	2004	250	Enchanter Necklace +14	60778	1	Enchanter Necklace +15	60779	1
Soul Metal	2004	250	Enchanter Necklace +15	60779	1	Enchanter Necklace +16	60780	1
Soul Metal	2004	250	Enchanter Necklace +16	60780	1	Enchanter Necklace +17	60781	1
Soul Metal	2004	250	Enchanter Necklace +17	60781	1	Enchanter Necklace +18	60782	1
Soul Metal	2004	250	Enchanter Necklace +18	60782	1	Enchanter Necklace +19	60783	1
Soul Metal	2004	250	Enchanter Necklace +19	60783	1	Enchanter Necklace +20	60784	1
Soul Metal	2004	250	Enchanter Necklace +20	60784	1	Enchanter Necklace +21	60785	1
Soul Metal	2004	250	Enchanter Necklace +21	60785	1	Enchanter Necklace +22	60786	1
Soul Metal	2004	250	Enchanter Necklace +22	60786	1	Enchanter Necklace +23	60787	1
Soul Metal	2004	250	Enchanter Necklace +23	60787	1	Enchanter Necklace +24	60788	1
Soul Metal	2004	250	Enchanter Necklace +24	60788	1	Enchanter Necklace +25	60789	1
Soul Metal	2004	250	Defender ring +1	60790	1	Defender ring +2	60791	1
Soul Metal	2004	250	Defender ring +2	60791	1	Defender ring +3	60792	1
Soul Metal	2004	250	Defender ring +3	60792	1	Defender ring +4	60793	1
Soul Metal	2004	250	Defender ring +4	60793	1	Defender ring +5	60794	1
Soul Metal	2004	250	Defender ring +5	60794	1	Defender ring +6	60795	1
Soul Metal	2004	250	Defender ring +6	60795	1	Defender ring +7	60796	1
Soul Metal	2004	250	Defender ring +7	60796	1	Defender ring +8	60797	1
Soul Metal	2004	250	Defender ring +8	60797	1	Defender ring +9	60798	1
Soul Metal	2004	250	Defender ring +9	60798	1	Defender ring +10	60799	1
Soul Metal	2004	250	Defender ring +10	60799	1	Defender ring +11	60800	1
Soul Metal	2004	250	Defender ring +11	60800	1	Defender ring +12	60801	1
Soul Metal	2004	250	Defender ring +12	60801	1	Defender ring +13	60802	1
Soul Metal	2004	250	Defender ring +13	60802	1	Defender ring +14	60803	1
Soul Metal	2004	250	Defender ring +14	60803	1	Defender ring +15	60804	1
Soul Metal	2004	250	Defender ring +15	60804	1	Defender ring +16	60805	1
Soul Metal	2004	250	Defender ring +16	60805	1	Defender ring +17	60806	1
Soul Metal	2004	250	Defender ring +17	60806	1	Defender ring +18	60807	1
Soul Metal	2004	250	Defender ring +18	60807	1	Defender ring +19	60808	1
Soul Metal	2004	250	Defender ring +19	60808	1	Defender ring +20	60809	1
Soul Metal	2004	250	Defender ring +20	60809	1	Defender ring +21	60810	1
Soul Metal	2004	250	Defender ring +21	60810	1	Defender ring +22	60811	1
Soul Metal	2004	250	Defender ring +22	60811	1	Defender ring +23	60812	1
Soul Metal	2004	250	Defender ring +23	60812	1	Defender ring +24	60813	1
Soul Metal	2004	250	Defender ring +24	60813	1	Defender ring +25	60814	1
Soul Metal	2004	250	Defender Necklace +1	60815	1	Defender Necklace +2	60816	1
Soul Metal	2004	250	Defender Necklace +2	60816	1	Defender Necklace +3	60817	1
Soul Metal	2004	250	Defender Necklace +3	60817	1	Defender Necklace +4	60818	1
Soul Metal	2004	250	Defender Necklace +4	60818	1	Defender Necklace +5	60819	1
Soul Metal	2004	250	Defender Necklace +5	60819	1	Defender Necklace +6	60820	1
Soul Metal	2004	250	Defender Necklace +6	60820	1	Defender Necklace +7	60821	1
Soul Metal	2004	250	Defender Necklace +7	60821	1	Defender Necklace +8	60822	1
Soul Metal	2004	250	Defender Necklace +8	60822	1	Defender Necklace +9	60823	1
Soul Metal	2004	250	Defender Necklace +9	60823	1	Defender Necklace +10	60824	1
Soul Metal	2004	250	Defender Necklace +10	60824	1	Defender Necklace +11	60825	1
Soul Metal	2004	250	Defender Necklace +11	60825	1	Defender Necklace +12	60826	1
Soul Metal	2004	250	Defender Necklace +12	60826	1	Defender Necklace +13	60827	1
Soul Metal	2004	250	Defender Necklace +13	60827	1	Defender Necklace +14	60828	1
Soul Metal	2004	250	Defender Necklace +14	60828	1	Defender Necklace +15	60829	1
Soul Metal	2004	250	Defender Necklace +15	60829	1	Defender Necklace +16	60830	1
Soul Metal	2004	250	Defender Necklace +16	60830	1	Defender Necklace +17	60831	1
Soul Metal	2004	250	Defender Necklace +17	60831	1	Defender Necklace +18	60832	1
Soul Metal	2004	250	Defender Necklace +18	60832	1	Defender Necklace +19	60833	1
Soul Metal	2004	250	Defender Necklace +19	60833	1	Defender Necklace +20	60834	1
Soul Metal	2004	250	Defender Necklace +20	60834	1	Defender Necklace +21	60835	1
Soul Metal	2004	250	Defender Necklace +21	60835	1	Defender Necklace +22	60836	1
Soul Metal	2004	250	Defender Necklace +22	60836	1	Defender Necklace +23	60837	1
Soul Metal	2004	250	Defender Necklace +23	60837	1	Defender Necklace +24	60838	1
Soul Metal	2004	250	Defender Necklace +24	60838	1	Defender Necklace +25	60839	1
Soul Metal	2004	250	Warrior ring +1	60840	1	Warrior ring +2	60841	1
Soul Metal	2004	250	Warrior ring +2	60841	1	Warrior ring +3	60842	1
Soul Metal	2004	250	Warrior ring +3	60842	1	Warrior ring +4	60843	1
Soul Metal	2004	250	Warrior ring +4	60843	1	Warrior ring +5	60844	1
Soul Metal	2004	250	Warrior ring +5	60844	1	Warrior ring +6	60845	1
Soul Metal	2004	250	Warrior ring +6	60845	1	Warrior ring +7	60846	1
Soul Metal	2004	250	Warrior ring +7	60846	1	Warrior ring +8	60847	1
Soul Metal	2004	250	Warrior ring +8	60847	1	Warrior ring +9	60848	1
Soul Metal	2004	250	Warrior ring +9	60848	1	Warrior ring +10	60849	1
Soul Metal	2004	250	Warrior ring +10	60849	1	Warrior ring +11	60850	1
Soul Metal	2004	250	Warrior ring +11	60850	1	Warrior ring +12	60851	1
Soul Metal	2004	250	Warrior ring +12	60851	1	Warrior ring +13	60852	1
Soul Metal	2004	250	Warrior ring +13	60852	1	Warrior ring +14	60853	1
Soul Metal	2004	250	Warrior ring +14	60853	1	Warrior ring +15	60854	1
Soul Metal	2004	250	Warrior ring +15	60854	1	Warrior ring +16	60855	1
Soul Metal	2004	250	Warrior ring +16	60855	1	Warrior ring +17	60856	1
Soul Metal	2004	250	Warrior ring +17	60856	1	Warrior ring +18	60857	1
Soul Metal	2004	250	Warrior ring +18	60857	1	Warrior ring +19	60858	1
Soul Metal	2004	250	Warrior ring +19	60858	1	Warrior ring +20	60859	1
Soul Metal	2004	250	Warrior ring +20	60859	1	Warrior ring +21	60860	1
Soul Metal	2004	250	Warrior ring +21	60860	1	Warrior ring +22	60861	1
Soul Metal	2004	250	Warrior ring +22	60861	1	Warrior ring +23	60862	1
