ID	ItemName	FieldModelName	AttachedModelName	SpriteDDS	MinX	MinY	MaxX	MaxY	SizeX	SizeY	EffectSound	ItemType	TypeName	AbleExchangeNDrop	AbleSell	MinDropLevel	MaxDropLevel	Price	OptionPrice	BlackPrice	MedalPrice	ClassLimit	LimitStat	Limit	LowLevel	HighLevel	Durability	MaxDurability	MinDamage	MaxDamage	Defence	Block	DropOption	Grade	CriticalType	AttackRange	MaxSocketNum	MagicResist	Evade	CoolDown	MaxHP	MaxMP	HPRegen	MPRegen	Speed	SkillPoint	Frost	Fire	Electro	Darkness
402	Basic armor	breast.r3s	training_breast	item011	8	109	63	186	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	3120	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401	Whale armor	breast.r3s	scale_breast	item009	78	16	132	88	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	3120	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	Metal cuirass	breast.r3s	plate_breast	item009	8	8	61	91	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	3120	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
446	Combatant armor	fullplate.r3s	COMBATANT_ARMOR	item041	7	86	81	179	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	3120	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
447	Laphon armor	fullplate.r3s	LAPHON_HUSK	item041	14	5	85	79	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	3120	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	Hel. Armor	breast.r3s	composite_breast	item009	145	103	199	189	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
449	Spidery armor	fullplate.r3s	SPIKED_ARMOR	item041	100	4	173	87	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	Cursed armor	fullplate.r3s	RAGE_SLAYER	item041	169	113	239	208	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
452	Middle-hard casting armor	fullplate.r3s	HALF_PALTE_ARMOR	Item042	173	4	246	98	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	Steel scale heavy-armor	fullplate.r3s	plate_mail	item010	91	8	160	109	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
407	St. Dragoon heavy-armor	fullplate.r3s	composite_mail	item010	172	123	246	217	3	4	armor1.wav	CON_ARMOUR	Armor(CON)	O	O	0	0	1	O	1	1	48	LEVEL	1	0	0	100	100	0	0	100	0	0	AAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
