1	Merman	Mon_Seaman.GCMDS	O	0	Defender	X	24	44	24	216	35	35	30	-30	40	-40	140	0.191805	20	1	11	14	7	4	0	0	0.8	6	0	0	0	34	123	200	3	5	1	1	X	X	O	X	0	0	0	0	0	0	0	0	0	0.508	15000	3191	3191	3191	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
2	Village Merman	Mon_Seaman.GCMDS	O	0	Defender	X	24	45.1	24	219.6	35	35	31.mai	-31.5	42	-42	142	0.189132	22	2	16	20	13	8	0	0	0.8	6	0	0	0	34	169	250	4	6	1.mai	1	X	X	O	X	0	0	0	0	0	0	0	0	0	0.516	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
3	Seaman Warrior	Mon_Seaman_Warrior.GCMDS	O	0	Warrior	X	24	46.2	24	223.2	35	35	33	-33	44	-44	144	0.186532	24	3	25	31	68	9	1	0	0.8	7	0	15	3	34	196	341	4	8	1.jaan	1	X	X	O	X	0	0	0	0	0	0	0	0	0	0.524	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
4	Seamen Mage	Mon_Seaman_Mage.GCMDS	O	0	Mage	X	24	45.1	24	219.6	35	35	31.mai	-31.5	42	-42	142	0.189132	28	4	24	29	23	9	1	0	0.8	10	0	40	4	34	236	464	5	11	1.mai	2	X	X	O	X	0	50	0x8904	0	0	0	0	0	0	0.532	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
5	Giant Merman	Mon_Seaman_Warrior.GCMDS	O	0	Warrior	X	24	46.2	24	223.2	35	35	33	-33	44	-44	144	0.186532	28	5	39	48	113	15	2	0	0.8	8	0	25	5	34	285	470	7	11	1.jaan	2	X	X	O	X	0	0	0	0	0	0	0	0	0	0.54	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
6	Small Beetle	Mon_Bulte.GCMDS	O	0	Defender	X	16	79.2	16	76.8	35	35	24	-24	30	-30	130	0.20638	30	6	43	53	37	24	1	0	0.9	8	0	0	2	34	385	450	9	11	1.veebr	2	X	X	O	X	0	0	0	0	0	0	0	0	0	0.548	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
7	St. Beetle	Mon_Bulte.GCMDS	O	0	Defender	X	16	93.6	16	86.4	35	35	32	-32	40	-40	140	0.191805	34	7	51	62	43	28	2	0	0.9	8	0	0	2	34	447	500	11	12	1.juuni	2	X	X	O	X	0	0	0	0	0	0	0	0	0	0.556	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
8	Zing	Mon_Un.GCMDS	O	0	Defender	X	32	100.8	16	134.4	30	30	48	-48	72	-56	156	0.172315	36	8	51	62	49	32	2	0	0.8	9	0	0	3	34	512	550	12	13	0.8	3	X	X	O	X	0	0	0	0	0	0	0	0	0	0.564	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
9	Goblin Attacker	Mon_Goblin.GCMDS	O	0	Warrior	X	32	117.6	24	223.2	30	30	38.5	-38.5	16.mai	-44	144	0.186532	40	9	70	86	203	27	4	0	0.8	10	0	45	10	34	493	731	12	18	1.jaan	3	X	X	O	X	0	0	0	0	0	0	0	0	0	0.572	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
10	Goblin Hunter	Mon_Goblin_warrior.GCMDS	O	0	Defender	X	32	117.6	24	223.2	50	50	38.5	-38.5	16.mai	-44	194	0.138778	84	10	105	128	61	40	3	0	1.m?ts	10	0	0	4	34	653	650	16	16	1.jaan	3	X	X	O	X	0	0	0	0	0	0	0	0	0	0.58	15000	7104	3185	3186	3191	0	1000	9000000	6000000	3000000	0	1500000	75000	75000	120000	75000	500	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0																				
